"is_active","new_spending","Coupon","Male","ActiveDays","Spending"
0,0,1,1,2,47.22
0,0,1,1,0,0
0,0,1,0,1,15.72
1,23.31,0,0,3,79.08
0,0,0,1,1,16.15
1,4.97,0,0,2,22.12
0,0,0,0,1,20.7
0,0,1,0,0,0
0,0,1,1,0,0
0,0,1,0,2,52.4
0,0,0,0,1,21.88
0,0,0,0,2,64.36
1,12.27,1,1,1,9.21
0,0,1,0,2,46.48
0,0,1,1,3,53.37
0,0,0,1,1,18.25
0,0,1,1,2,26.18
0,0,0,0,1,25.35
1,26.09,0,0,0,0
1,11.7,0,1,1,18.19
0,0,0,0,0,0
0,0,1,0,1,23.81
0,0,0,0,0,0
0,0,1,0,1,3
0,0,1,0,3,67.11
0,0,0,1,1,28.91
1,13.66,1,1,1,17.18
0,0,0,0,2,28.28
1,15.81,1,1,0,0
0,0,1,0,2,27.6
0,0,0,1,1,33.97
0,0,1,1,1,16.2
1,16.82,0,1,1,19.93
0,0,0,1,2,46.98
0,0,0,0,1,17.48
0,0,1,0,2,41.88
1,26.83,1,0,2,44.04
0,0,1,1,1,19.66
0,0,0,0,1,21.94
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,1,1,30.41
0,0,0,1,0,0
1,27.92,1,0,2,49.8
0,0,1,0,1,24.72
0,0,1,1,2,58.9
0,0,0,1,1,20.35
0,0,0,1,2,40.28
0,0,1,1,2,36.32
0,0,0,1,1,17.46
0,0,0,0,1,32.82
1,22.26,0,1,2,39.96
1,29.9,1,1,3,46.65
0,0,0,0,1,16.65
0,0,1,1,0,0
0,0,0,0,1,21.86
0,0,1,1,1,31.64
0,0,0,1,2,31.34
0,0,1,1,2,44
1,33.2,1,0,0,0
0,0,0,0,1,18.94
0,0,0,0,2,46.68
0,0,0,0,0,0
1,22.41,1,0,1,19.79
1,23.88,1,0,1,18.37
0,0,0,1,0,0
0,0,1,1,4,84.88
0,0,1,0,1,27.25
0,0,0,1,2,56.2
0,0,0,0,0,0
1,13.62,0,0,1,24.21
0,0,1,1,1,23.87
0,0,1,0,2,50.76
0,0,1,1,2,52.9
0,0,1,0,1,24.55
1,31.5,1,1,1,23.92
0,0,0,0,1,17.98
0,0,1,1,1,14.54
0,0,1,1,1,19.57
0,0,0,0,0,0
0,0,0,1,3,67.95
0,0,0,0,2,60.26
0,0,1,0,1,22.03
0,0,0,0,3,17.79
0,0,0,0,3,68.85
0,0,0,1,1,13.35
0,0,1,0,0,0
0,0,0,1,1,25.18
0,0,1,1,1,23.28
0,0,1,1,1,21.64
0,0,1,1,3,97.08
0,0,1,0,0,0
0,0,0,0,0,0
1,31.22,0,1,1,22.19
1,38.25,1,1,1,29.18
0,0,1,1,3,34.14
1,6.43,0,0,1,11.05
0,0,0,1,1,30.74
1,24.69,1,0,2,41.42
0,0,1,0,1,6.71
0,0,1,1,0,0
1,33.49,0,1,1,33.75
0,0,0,1,0,0
0,0,0,1,3,64.05
